Subject (No.),Delta (1-4 Hz),Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Theta (4-8 Hz),Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Alpha (8-12 Hz),Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Beta 1 (12-20 Hz),Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Beta 2 (20-30 Hz),Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Gamma 1 (30-60 Hz),Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Gamma 2 (60-100 Hz),Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Subject NO.,Mean HR (BPM),AVNN (ms),SDNN (ms),NN50 (beats),pNN50 (%),RMSSD (ms),LF (ms2),LF Norm (n.u.),HF (ms2),HF Norm (n.u.),LF/HF Ratio,stress
1.0,0.1844,0.1952,0.15589,0.13619,0.095551,0.0544,0.098629,0.087589,0.050482,0.042248,0.063445,0.05494,0.037331,0.017746,0.042132,0.036527,0.025841,0.023306,0.034279,0.03105,0.027515,0.015421,0.029038,0.025907,0.060389,0.059015,0.078172,0.076176,0.061976,0.046157,0.084391,0.070153,0.02991,0.03261,0.02823,0.026693,0.026007,0.035178,0.027806,0.021597,0.064711,0.071175,0.05534,0.050616,0.07507,0.12146,0.046547,0.045167,0.041097,0.047532,0.044658,0.035492,0.069398,0.14604,0.03157,0.031455,1,85.8474,698.9147,45.8957,46,10.7477,29.6913,412.1663,46.8523,467.3008,53.1197,0.882,0
2.0,0.39299,0.28778,0.10308,0.085864,0.044544,0.025874,0.063593,0.059662,0.032547,0.02841,0.031216,0.026603,0.018577,0.0075846,0.02246,0.018702,0.0082439,0.0090872,0.0098945,0.0096784,0.006063,0.0041139,0.012185,0.0095243,0.011922,0.016509,0.011384,0.012775,0.0098192,0.0054135,0.019902,0.012788,0.0064417,0.014445,0.0045016,0.0045513,0.0030747,0.003281,0.0047092,0.0038135,0.011017,0.023471,0.0043154,0.0049882,0.0047075,0.0063121,0.0044048,0.0057351,0.0081396,0.018726,0.0024745,0.0025796,0.0044845,0.0047511,0.0022769,0.0041295,2,88.3727,678.9429,23.8804,0,0.0,11.6837,314.3801,87.1339,46.3382,12.8431,6.7845,0
3.0,0.10009,0.10243,0.097793,0.10038,0.03751,0.039385,0.06677,0.073732,0.046886,0.047177,0.073983,0.070418,0.027509,0.023066,0.048291,0.042691,0.041247,0.040963,0.068265,0.067428,0.041778,0.033,0.083627,0.076167,0.048774,0.046904,0.048994,0.051759,0.030322,0.020657,0.045096,0.040706,0.20685,0.16949,0.068021,0.10295,0.016194,0.013118,0.011502,0.010017,0.24795,0.21699,0.076801,0.10538,0.045849,0.028912,0.017826,0.017664,0.10589,0.093372,0.047746,0.054585,0.05199,0.031639,0.016746,0.016415,3,79.4924,754.7887,50.0888,71,17.4877,37.805,612.5444,45.8684,722.3938,54.0941,0.8479,0
4.0,0.13031,0.11026,0.059298,0.063243,0.028114,0.035388,0.043595,0.050731,0.02119,0.020727,0.023771,0.025565,0.010295,0.013106,0.018325,0.021413,0.012936,0.012901,0.014962,0.016912,0.0068661,0.0086532,0.011845,0.015169,0.037028,0.031359,0.027537,0.028604,0.013197,0.01562,0.013233,0.017215,0.11665,0.094114,0.073502,0.071834,0.015884,0.018691,0.012377,0.012981,0.14619,0.15973,0.077021,0.092065,0.03537,0.046842,0.021797,0.022834,0.053571,0.080014,0.030297,0.040989,0.045259,0.050279,0.020718,0.022123,4,78.8327,761.1057,41.4575,27,6.4593,27.0164,446.1722,64.1144,249.5922,35.8661,1.7876,0
5.0,0.15848,0.1778,0.057983,0.062701,0.030236,0.013943,0.036758,0.031941,0.019291,0.018838,0.023444,0.01914,0.0099,0.004561,0.015467,0.015616,0.0082234,0.0078852,0.011887,0.0096885,0.0095652,0.0035129,0.015621,0.016171,0.016594,0.016071,0.026985,0.021022,0.017098,0.0082273,0.02525,0.025234,0.016195,0.016952,0.028553,0.025391,0.012782,0.0077938,0.015922,0.017788,0.022814,0.043861,0.02522,0.024953,0.026547,0.018513,0.026918,0.035456,0.015336,0.023965,0.013294,0.013284,0.018369,0.011954,0.015831,0.02407,5,63.3055,947.7851,40.0863,54,16.0714,35.2921,367.0269,49.2067,378.3478,50.7245,0.9701,0
6.0,0.1192,0.12265,0.070695,0.073855,0.053101,0.053692,0.072493,0.071268,0.022606,0.022442,0.020457,0.020573,0.0095671,0.0090192,0.01683,0.017705,0.0071715,0.0065375,0.0061836,0.006459,0.0031457,0.0037706,0.0069876,0.0064637,0.010693,0.0092049,0.0067891,0.01061,0.0037598,0.0049344,0.005312,0.0052318,0.015291,0.011692,0.0069579,0.014669,0.0046508,0.0058473,0.0044989,0.0049254,0.039659,0.046882,0.017511,0.042807,0.014299,0.020042,0.012711,0.011556,0.034193,0.030229,0.016218,0.061153,0.014623,0.028897,0.012682,0.010749,6,76.7485,781.7745,63.5073,90,22.0049,43.7658,983.9782,55.5182,788.1907,44.4715,1.2484,0
7.0,0.11617,0.13608,0.095926,0.12744,0.041379,0.073788,0.063085,0.075871,0.027815,0.030537,0.040159,0.045961,0.01408,0.019068,0.028941,0.028423,0.019809,0.020054,0.026459,0.026037,0.011714,0.010851,0.02751,0.030445,0.030761,0.026338,0.028597,0.028719,0.020483,0.020225,0.021277,0.022087,0.072559,0.033405,0.036094,0.026427,0.017435,0.01199,0.012629,0.012283,0.11969,0.068965,0.049355,0.039902,0.051208,0.022149,0.017164,0.014529,0.0884,0.051464,0.030834,0.03193,0.054156,0.011655,0.014973,0.01097,7,72.9955,821.9684,51.3388,108,24.1611,41.1066,593.0427,46.9263,670.5685,53.0607,0.8844,0
8.0,0.084401,0.087757,0.072487,0.074699,0.049917,0.048203,0.064035,0.06171,0.029802,0.031195,0.036041,0.035404,0.018832,0.017742,0.02881,0.026599,0.023886,0.024778,0.026443,0.02922,0.016325,0.019057,0.037749,0.044483,0.018847,0.019518,0.020332,0.020456,0.028479,0.043476,0.019301,0.023285,0.013934,0.01899,0.011652,0.012731,0.026475,0.047475,0.010741,0.010307,0.037315,0.038524,0.030985,0.030365,0.10216,0.12427,0.035041,0.032017,0.022637,0.024716,0.019441,0.018227,0.098097,0.093945,0.025682,0.022151,8,91.3848,656.5643,50.4347,17,3.4765,24.9287,1004.6067,75.5845,324.4302,24.4094,3.0965,0
9.0,0.055,0.054013,0.044761,0.068282,0.023642,0.034326,0.048073,0.051215,0.019569,0.019596,0.017495,0.02452,0.007461,0.011186,0.012818,0.014002,0.012246,0.012179,0.012914,0.013854,0.0060031,0.0075958,0.014473,0.017946,0.028476,0.026323,0.014029,0.012184,0.0064446,0.0089953,0.011987,0.013244,0.16201,0.11076,0.024745,0.013481,0.0064752,0.0060262,0.0050146,0.0052482,0.15392,0.14623,0.030475,0.017473,0.012733,0.0096807,0.0090282,0.0094281,0.093388,0.085364,0.0231,0.013821,0.011853,0.0077957,0.0067672,0.0069913,9,86.3977,694.4629,24.7057,0,0.0,13.5134,107.2882,79.4503,27.2827,20.2037,3.9325,0
10.0,0.088344,0.081152,0.075395,0.080159,0.044214,0.032063,0.05195,0.055881,0.021408,0.023457,0.026279,0.028541,0.012432,0.008444,0.021973,0.018083,0.023824,0.026931,0.032927,0.033432,0.028069,0.013664,0.03731,0.042052,0.086481,0.05352,0.074928,0.069847,0.040359,0.029841,0.081808,0.09758,0.16976,0.06132,0.038137,0.038353,0.018589,0.016083,0.025771,0.020552,0.17747,0.064309,0.035112,0.028064,0.035755,0.027696,0.020394,0.020367,0.068857,0.045037,0.022201,0.019907,0.053357,0.028969,0.020583,0.01996,10,79.1839,757.7302,37.4741,51,12.8788,33.0784,725.0918,60.9381,463.7537,38.9747,1.5635,0
